Item,Amount,Value
مستحضرات اخرى للتعطير او التجميل او الزينة غير مذكورة ولا داخلة فى   مكان اخر,22.4,ألف دولار
طعام من حبوب غير محمصة ومحمصة,22.1,ألف دولار
اوعيه لتعبئه الغازات المضغوطه او المسيله,22.0,ألف دولار
مياةبما فيهاالمياةالمعدنيةوالغازيةمضاف اليهاسكراومواد تحلية,21.9,ألف دولار
بطيخ طازج,21.4,ألف دولار
أصناف زجاجيه أخرى فيما عدا العدسات و المجوهرات المقلده,21.0,ألف دولار
آلات قولبة أو تشكيل المطاط أو البلاستيك للإنتاج السلع,21.0,ألف دولار
اغطيه اسره مصنره او كروشيه من الياف نسجيه أخرى,20.2,ألف دولار
سليب رجالى من ألياف صناعيه مصنره,20.1,ألف دولار
فستان حريمى من الياف صناعيه غير مصنره,19.5,ألف دولار
قمصان رجالى من القطن مصنره,19.1,ألف دولار
خزائن وصناديق للنقديه او المستندات او ماشابه ذلك من معادن عاديه,19.0,ألف دولار
طوب حرارى عالى الألومينا بنسبة تزيد عن 50%,18.9,ألف دولار
دوريات .. وان كانت مشتملة على مواد دعاية تصدر اسبوعيا أو شهريا,18.8,ألف دولار
زجاج مسطح عادى سادة غير مسلح,18.8,ألف دولار
,17.6,ألف دولار
برغل وسميد من حنطة القمح,16.9,ألف دولار
موالح أخرى طازج أو مجفف,16.6,ألف دولار
غزل قطن مفرد أكثر من 85% قطن غير ممشط (29و714) غير مهييء للبيع بالتجزئه,16.1,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,16.0,ألف دولار
طوب اسمنتى خفيف أو مفرغ أو مصمت أو طفلى,14.6,ألف دولار
بذور زيتيه أخرى,14.2,ألف دولار
اقمشة قطن خام أكثر أخرى من 85% قطن أكثر من200 جرام من غزول مختلفه,14.2,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,13.5,ألف دولار
مواد لاصقه قاعدتها مطاط اوبلاستيك(بما فى ذلك الراتنجات الاصطناعيه(غير  مهيأه للبيع بالتجزئه),13.4,ألف دولار
هرمونات متنوعه للتجزئه,13.4,ألف دولار
أشجار و شجيرات ذات ثمار أو بدون ثمار,13.2,ألف دولار
الات المخابز والات صناعة المكرونة سباجتى او منتجات مشابهه,13.1,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,13.1,ألف دولار
الواصلات والاكواع والجلب,13.1,ألف دولار
ورق يدوى الصنع,12.8,ألف دولار
اجوله واكياس من الياف صناعيه أخرى,12.8,ألف دولار
حشو لاغراض من طب الاسنان,12.4,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,12.3,ألف دولار
اقمشه طويله الخمل من حرير او مشاقته,12.0,ألف دولار
غيرها من مرشحات أو الات وأجهزة تنقية أخرى للغازات,12.0,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,11.7,ألف دولار
أجزوع الأشجار الصلبه غير منشوره,11.4,ألف دولار
فاصولياخضراء و فول أخضر,11.3,ألف دولار
اسلاك مجدوله وحبال وكابلات من حديد او صلب غير معزوله كهربائيا,11.1,ألف دولار
مفاتيح كهربائيه وفيش كهربى يزيد عن 1000 فولت,10.3,ألف دولار
الات اخرى تؤدى وظائف مستقلة بذاتها غير مذكورة او داخلة فى اى مكان اخرمن هذا الفصل,10.0,ألف دولار
موزاييك من أحجار طبيعيه,9.8,ألف دولار
بذور الفلفا تقاوى,9.8,ألف دولار
,9.0,ألف دولار
سخانات تعمل بالغازات السائله,8.9,ألف دولار
غيرها من اسلاك,8.8,ألف دولار
عدادات كهرباء بريكوردر,8.6,ألف دولار
ابواب واطرها واعتابها من خشب و حلق او برور للباب من خشب,8.4,ألف دولار
"انابيب ومواسير وخراطيم,صلبة وغير قابلة للثنى من لدائن اصطناعيةاخرى",8.2,ألف دولار
ادوات للمائدة والمطبخ بورسلين,7.8,ألف دولار
